RegionID,CityName,StateName,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06
394553,EAST STROUDSBURG,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,48.0,53.0,44.0,30.0,35.0,42.0,45.0,40.0,43.0,48.0,42.0,45.0,48.0,49.0,40.0,50.0,41.0,42.0,42.0,44.0,40.0,44.0,40.0,41.0,41.0,40.0,38.0,39.0,37.0,38.0,34.0,36.0,36.0,38.0,40.0,39.0,36.0,35.0,36.0,41.0,37.0,35.0,41.0,43.0,38.0
395007,PUEBLO,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,32.0,22.0,30.0,38.0,38.0,23.0,29.0,34.0,32.0,33.0,33.0,35.0,35.0,35.0,36.0,34.0,34.0,38.0,36.0,34.0,32.0,35.0,36.0,33.0,32.0,34.0,30.0,32.0,31.0,32.0,36.0,34.0,37.0,34.0,34.0,35.0,34.0,33.0,36.0,37.0,32.0,35.0,31.0,35.0,36.0,36.0,32.0
394392,BLACKSBURG,VA,33.0,37.0,34.0,35.0,43.0,42.0,41.0,40.0,41.0,41.0,40.0,37.0,40.0,42.0,36.0,38.0,42.0,44.0,42.0,41.0,40.0,40.0,33.0,38.0,46.0,38.0,37.0,39.0,43.0,44.0,37.0,42.0,41.0,43.0,41.0,43.0,43.0,42.0,38.0,40.0,41.0,42.0,43.0,40.0,40.0,40.0,41.0,42.0,46.0,41.0,42.0,39.0,40.0,43.0,37.0,35.0,38.0,37.0,38.0,36.0,37.0,39.0,36.0,38.0,38.0,41.0,38.0,37.0,34.0,38.0,38.0,35.0,40.0,37.0,36.0,38.0,37.0,37.0
395215,WAUSAU,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,37.0,38.0,39.0
394731,KAHULUI,HI,50.0,47.0,44.0,45.0,49.0,50.0,52.0,48.0,47.0,49.0,44.0,44.0,47.0,43.0,47.0,47.0,50.0,49.0,45.0,48.0,51.0,46.0,50.0,47.0,51.0,49.0,46.0,54.0,54.0,48.0,45.0,48.0,47.0,46.0,49.0,48.0,46.0,41.0,46.0,51.0,54.0,53.0,53.0,54.0,49.0,48.0,49.0,48.0,54.0,48.0,46.0,48.0,50.0,51.0,46.0,49.0,43.0,45.0,45.0,44.0,43.0,46.0,44.0,44.0,43.0,44.0,44.0,45.0,42.0,41.0,40.0,41.0,41.0,40.0,43.0,45.0,45.0,44.0
394720,JANESVILLE,WI,29.0,24.0,29.0,29.0,24.0,28.0,24.0,29.0,18.0,24.0,26.0,25.0,26.0,26.0,24.0,26.0,27.0,24.0,31.0,27.0,26.0,30.0,26.0,27.0,26.0,19.0,21.0,29.0,34.0,30.0,26.0,32.0,26.0,29.0,27.0,22.0,27.0,27.0,27.0,29.0,25.0,35.0,32.0,32.0,28.0,32.0,27.0,32.0,27.0,30.0,28.0,30.0,33.0,32.0,34.0,33.0,30.0,29.0,28.0,29.0,29.0,31.0,28.0,28.0,31.0,30.0,30.0,26.0,28.0,24.0,23.0,35.0,32.0,25.0,22.0,29.0,29.0,31.0
394393,BLOOMINGTON,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,21.0,38.0,19.0,22.0,22.0,23.0,14.0,29.0,34.0,35.0,40.0,38.0,39.0,36.0,35.0,35.0,34.0,35.0,36.0,34.0,33.0,33.0,34.0,35.0,33.0,32.0,32.0,31.0,32.0,30.0,33.0,31.0,32.0,32.0,35.0,36.0,34.0,29.0,31.0,28.0,31.0,,20.0,27.0,28.0,34.0,28.0,22.0
394710,JACKSON,MI,37.0,33.0,36.0,37.0,37.0,35.0,35.0,35.0,37.0,36.0,34.0,37.0,39.0,42.0,33.0,27.0,35.0,38.0,39.0,34.0,36.0,37.0,38.0,37.0,38.0,37.0,32.0,42.0,40.0,39.0,37.0,38.0,41.0,39.0,39.0,45.0,42.0,36.0,38.0,39.0,39.0,41.0,37.0,19.0,,36.0,22.0,33.0,44.0,33.0,27.0,29.0,26.0,29.0,28.0,20.0,27.0,32.0,29.0,33.0,39.0,31.0,31.0,30.0,30.0,29.0,32.0,29.0,31.0,34.0,32.0,34.0,36.0,29.0,33.0,30.0,31.0,31.0
395125,STATE COLLEGE,PA,,,,,,,,,,,,,,45.0,41.0,44.0,47.0,48.0,46.0,44.0,45.0,43.0,38.0,50.0,51.0,37.0,43.0,51.0,58.0,50.0,45.0,45.0,47.0,45.0,47.0,49.0,48.0,41.0,47.0,48.0,49.0,49.0,30.0,39.0,42.0,43.0,42.0,43.0,46.0,47.0,35.0,41.0,39.0,43.0,41.0,40.0,38.0,39.0,38.0,41.0,46.0,37.0,35.0,38.0,40.0,42.0,44.0,39.0,38.0,43.0,40.0,39.0,43.0,39.0,37.0,42.0,37.0,45.0
395079,SEBASTIAN,FL,39.0,33.0,34.0,34.0,34.0,39.0,36.0,28.0,29.0,38.0,42.0,32.0,33.0,30.0,32.0,33.0,34.0,34.0,33.0,35.0,36.0,26.0,26.0,27.0,33.0,27.0,30.0,35.0,34.0,27.0,26.0,26.0,18.0,33.0,39.0,37.0,36.0,36.0,38.0,42.0,41.0,41.0,42.0,38.0,39.0,38.0,37.0,36.0,39.0,36.0,35.0,35.0,36.0,36.0,36.0,35.0,34.0,35.0,32.0,31.0,37.0,33.0,35.0,36.0,37.0,39.0,36.0,36.0,35.0,36.0,32.0,30.0,36.0,33.0,31.0,37.0,38.0,36.0
394814,MADERA,CA,41.0,39.0,38.0,42.0,38.0,39.0,36.0,32.0,39.0,39.0,39.0,40.0,47.0,36.0,37.0,40.0,40.0,35.0,41.0,38.0,42.0,41.0,42.0,40.0,43.0,36.0,36.0,34.0,34.0,39.0,38.0,43.0,44.0,46.0,47.0,45.0,39.0,41.0,38.0,43.0,41.0,42.0,41.0,43.0,38.0,34.0,40.0,45.0,41.0,37.0,37.0,34.0,36.0,37.0,32.0,32.0,36.0,31.0,34.0,33.0,33.0,31.0,31.0,35.0,32.0,35.0,30.0,36.0,32.0,31.0,32.0,32.0,40.0,32.0,33.0,32.0,33.0,33.0
394523,DECATUR,AL,,,,,,,,,,,,,,,,,,,,,,,,,29.0,36.0,38.0,38.0,37.0,38.0,39.0,46.0,44.0,41.0,36.0,36.0,22.0,30.0,39.0,39.0,39.0,36.0,40.0,36.0,38.0,37.0,35.0,39.0,37.0,35.0,33.0,34.0,34.0,34.0,35.0,36.0,33.0,35.0,35.0,28.0,35.0,35.0,33.0,31.0,33.0,37.0,32.0,33.0,33.0,33.0,35.0,32.0,34.0,34.0,32.0,36.0,34.0,35.0
394453,CHAMBERSBURG,PA,46.0,41.0,36.0,38.0,34.0,39.0,42.0,43.0,41.0,42.0,40.0,40.0,42.0,44.0,42.0,41.0,40.0,43.0,42.0,40.0,43.0,43.0,42.0,40.0,44.0,41.0,41.0,45.0,53.0,51.0,42.0,45.0,44.0,36.0,46.0,45.0,48.0,47.0,43.0,44.0,41.0,45.0,43.0,44.0,41.0,40.0,42.0,43.0,47.0,39.0,37.0,39.0,39.0,41.0,40.0,44.0,40.0,38.0,35.0,39.0,38.0,38.0,37.0,37.0,36.0,36.0,41.0,37.0,37.0,37.0,36.0,32.0,37.0,37.0,35.0,37.0,37.0,36.0
395193,VINELAND,NJ,,,,,,,,,,,,,,,42.0,40.0,37.0,41.0,36.0,38.0,36.0,37.0,37.0,43.0,42.0,31.0,38.0,37.0,43.0,42.0,43.0,38.0,37.0,28.0,42.0,43.0,50.0,38.0,41.0,42.0,47.0,45.0,50.0,48.0,43.0,42.0,43.0,41.0,46.0,37.0,38.0,41.0,41.0,41.0,36.0,41.0,38.0,33.0,37.0,39.0,32.0,34.0,34.0,34.0,39.0,38.0,39.0,38.0,37.0,41.0,37.0,32.0,36.0,34.0,34.0,34.0,38.0,36.0
394703,IDAHO FALLS,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,26.0,29.0,27.0,29.0,28.0,31.0,32.0,28.0,31.0
394639,GRAND JUNCTION,CO,27.0,31.0,33.0,34.0,35.0,35.0,35.0,35.0,33.0,34.0,35.0,34.0,34.0,33.0,28.0,33.0,34.0,34.0,34.0,34.0,36.0,37.0,38.0,35.0,33.0,31.0,33.0,38.0,35.0,31.0,34.0,34.0,27.0,33.0,38.0,36.0,32.0,31.0,34.0,34.0,35.0,36.0,34.0,34.0,35.0,34.0,34.0,35.0,37.0,34.0,33.0,33.0,33.0,33.0,34.0,33.0,33.0,32.0,32.0,30.0,33.0,32.0,33.0,33.0,32.0,35.0,35.0,31.0,33.0,32.0,33.0,32.0,32.0,32.0,34.0,33.0,35.0,33.0
394563,ELIZABETHTOWN,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,32.0,48.0,35.0,42.0,43.0,42.0,40.0,43.0,52.0,24.0,38.0,43.0,40.0,39.0,41.0,42.0,42.0,39.0,40.0,40.0,41.0,44.0,41.0,37.0,37.0,39.0,36.0,37.0,33.0,33.0,32.0,34.0,33.0,32.0,27.0,35.0,35.0,38.0,38.0,36.0,34.0,34.0,35.0,38.0,28.0,37.0,32.0,31.0,36.0,36.0,38.0
394917,NILES,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,23.0,31.0,28.0,34.0,29.0,30.0,37.0,26.0,25.0,30.0,24.0,28.0,30.0,28.0,28.0,25.0,18.0,31.0,39.0,33.0,21.0,32.0,26.0,28.0,27.0,20.0,30.0,35.0,35.0,36.0,37.0,32.0,36.0,34.0,34.0,37.0,36.0,35.0,36.0,35.0,36.0,37.0,38.0,34.0,34.0,34.0,34.0,33.0
394873,MONROE,MI,37.0,36.0,35.0,35.0,36.0,38.0,37.0,36.0,39.0,41.0,38.0,34.0,39.0,31.0,35.0,33.0,35.0,38.0,38.0,37.0,37.0,37.0,38.0,40.0,38.0,32.0,34.0,38.0,42.0,36.0,39.0,40.0,42.0,42.0,39.0,45.0,42.0,38.0,37.0,38.0,39.0,37.0,35.0,35.0,33.0,35.0,30.0,33.0,32.0,31.0,29.0,29.0,29.0,31.0,30.0,30.0,32.0,30.0,30.0,30.0,30.0,29.0,28.0,26.0,25.0,26.0,27.0,29.0,29.0,28.0,26.0,28.0,30.0,25.0,25.0,28.0,30.0,25.0
395066,SANTA FE,NM,31.0,23.0,35.0,34.0,40.0,39.0,41.0,40.0,39.0,37.0,38.0,36.0,45.0,37.0,39.0,39.0,37.0,40.0,38.0,37.0,39.0,38.0,39.0,41.0,44.0,37.0,40.0,39.0,40.0,40.0,39.0,39.0,40.0,40.0,40.0,43.0,40.0,43.0,37.0,37.0,38.0,40.0,39.0,40.0,40.0,40.0,40.0,39.0,45.0,41.0,36.0,37.0,36.0,35.0,35.0,35.0,38.0,38.0,37.0,37.0,37.0,40.0,34.0,34.0,34.0,36.0,32.0,36.0,34.0,34.0,34.0,35.0,37.0,36.0,34.0,35.0,35.0,33.0
394493,CONCORD,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,40.0,41.0,45.0,37.0,39.0,22.0,37.0,48.0,48.0,41.0,45.0,44.0,44.0,46.0,48.0,46.0,49.0,46.0,49.0,44.0,45.0,46.0,48.0,47.0,39.0,43.0,43.0,41.0,43.0,43.0,42.0,40.0,39.0,44.0,38.0,42.0,41.0,40.0,43.0,39.0,37.0,39.0,42.0,39.0,41.0,41.0,34.0,33.0,38.0,36.0,39.0
394314,ALEXANDRIA,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,24.0,40.0,44.0,42.0,43.0,42.0,41.0,40.0,41.0,38.0,40.0,43.0,41.0,37.0,38.0,36.0,40.0,38.0,33.0,31.0,31.0,36.0,38.0,37.0,39.0,37.0,35.0,33.0,37.0,37.0,38.0,37.0,32.0,36.0,41.0,34.0
395163,TRAVERSE CITY,MI,24.0,16.0,21.0,21.0,21.0,20.0,18.0,18.0,17.0,17.0,20.0,21.0,20.0,21.0,17.0,24.0,23.0,18.0,17.0,17.0,21.0,19.0,24.0,20.0,18.0,16.0,17.0,25.0,18.0,17.0,16.0,19.0,17.0,33.0,40.0,39.0,31.0,20.0,33.0,38.0,35.0,33.0,36.0,35.0,35.0,37.0,37.0,36.0,40.0,37.0,32.0,30.0,28.0,29.0,30.0,30.0,31.0,31.0,32.0,29.0,28.0,31.0,31.0,28.0,28.0,28.0,30.0,30.0,29.0,31.0,29.0,33.0,33.0,32.0,30.0,30.0,28.0,29.0
394359,BANGOR,ME,,,,,,,,,,,,28.0,33.0,42.0,39.0,44.0,40.0,40.0,42.0,42.0,37.0,44.0,36.0,36.0,40.0,35.0,41.0,38.0,37.0,43.0,39.0,41.0,26.0,39.0,45.0,47.0,48.0,43.0,46.0,46.0,43.0,35.0,40.0,42.0,45.0,44.0,43.0,46.0,42.0,39.0,41.0,40.0,40.0,42.0,40.0,40.0,37.0,39.0,37.0,38.0,38.0,43.0,38.0,34.0,38.0,40.0,38.0,35.0,38.0,38.0,38.0,37.0,38.0,37.0,38.0,36.0,35.0,37.0
394685,HOMOSASSA SPRINGS,FL,37.0,34.0,37.0,38.0,39.0,38.0,37.0,37.0,37.0,37.0,38.0,35.0,36.0,37.0,34.0,37.0,37.0,38.0,39.0,36.0,36.0,36.0,36.0,39.0,37.0,35.0,36.0,38.0,38.0,37.0,39.0,38.0,40.0,40.0,39.0,37.0,40.0,38.0,38.0,39.0,38.0,40.0,42.0,39.0,38.0,39.0,35.0,39.0,37.0,37.0,35.0,37.0,35.0,35.0,37.0,36.0,35.0,34.0,34.0,33.0,34.0,31.0,33.0,35.0,33.0,37.0,34.0,35.0,34.0,34.0,31.0,32.0,31.0,34.0,32.0,33.0,36.0,35.0
394662,HANFORD,CA,,,,,,,,,,,,,31.0,28.0,32.0,26.0,37.0,39.0,34.0,35.0,36.0,34.0,40.0,38.0,38.0,30.0,31.0,38.0,34.0,39.0,40.0,43.0,43.0,39.0,45.0,51.0,45.0,36.0,40.0,39.0,38.0,49.0,40.0,41.0,39.0,33.0,38.0,39.0,37.0,35.0,32.0,40.0,35.0,36.0,34.0,32.0,32.0,35.0,37.0,31.0,33.0,25.0,30.0,33.0,36.0,34.0,31.0,34.0,33.0,34.0,33.0,35.0,39.0,33.0,31.0,31.0,34.0,34.0
394723,JEFFERSON CITY,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,36.0,38.0,38.0,43.0,42.0,41.0,39.0,25.0,33.0,36.0,39.0,38.0,38.0,34.0,36.0,37.0,34.0,36.0,33.0,34.0,33.0,34.0,37.0,35.0,32.0,34.0,34.0,36.0,36.0,32.0,33.0,32.0,30.0,33.0,32.0,34.0,30.0,31.0,34.0,34.0
394598,FLORENCE,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,15.0,25.0,29.0,31.0,35.0,32.0,34.0,34.0,34.0,32.0,32.0,35.0,32.0,36.0,29.0,31.0,30.0,30.0,35.0
394537,DOTHAN,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,41.0,42.0,40.0,41.0,32.0,32.0,40.0,40.0,46.0,47.0,47.0,46.0,35.0,41.0,36.0,41.0,45.0,36.0,43.0,39.0,42.0,32.0,36.0,37.0,31.0,36.0,36.0,37.0,30.0,22.0,30.0,29.0,31.0,29.0,36.0,28.0,26.0,32.0,32.0,36.0
394802,LONDON,KY,,,35.0,30.0,32.0,38.0,32.0,35.0,41.0,40.0,36.0,31.0,41.0,37.0,33.0,35.0,39.0,38.0,38.0,43.0,41.0,37.0,41.0,42.0,40.0,36.0,36.0,34.0,44.0,47.0,43.0,44.0,42.0,47.0,41.0,43.0,44.0,39.0,41.0,39.0,38.0,42.0,38.0,37.0,41.0,39.0,44.0,37.0,42.0,40.0,35.0,32.0,36.0,36.0,39.0,37.0,37.0,38.0,34.0,36.0,36.0,33.0,34.0,36.0,39.0,39.0,38.0,34.0,32.0,36.0,34.0,32.0,38.0,36.0,34.0,39.0,34.0,32.0
394306,ALBANY,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
845167,OTTAWA,IL,38.0,43.0,37.0,39.0,44.0,42.0,41.0,41.0,44.0,43.0,42.0,45.0,41.0,43.0,44.0,38.0,41.0,44.0,42.0,39.0,42.0,42.0,43.0,45.0,49.0,42.0,43.0,43.0,42.0,44.0,44.0,42.0,46.0,47.0,48.0,45.0,42.0,38.0,41.0,41.0,44.0,44.0,45.0,42.0,42.0,43.0,43.0,42.0,44.0,40.0,41.0,39.0,37.0,40.0,41.0,37.0,37.0,35.0,35.0,37.0,43.0,37.0,36.0,33.0,34.0,39.0,39.0,34.0,37.0,39.0,39.0,36.0,42.0,33.0,35.0,35.0,35.0,40.0
395102,SIOUX CITY,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,30.0,34.0,46.0,45.0,45.0,50.0,46.0,43.0,46.0,42.0,44.0,47.0,42.0,44.0,46.0,42.0,41.0,42.0,41.0,46.0,40.0,42.0,41.0,39.0,45.0,40.0,41.0,42.0,44.0,38.0,38.0,43.0,36.0,39.0,41.0,39.0,43.0,44.0,39.0,43.0,37.0,38.0,33.0,42.0,38.0,32.0,23.0,36.0,41.0
395223,WICHITA FALLS,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,26.0,26.0,25.0,30.0,30.0,31.0,26.0,27.0,26.0,27.0,31.0,25.0,24.0,35.0,33.0,35.0,31.0,37.0,31.0,32.0,26.0,35.0,27.0,31.0,23.0,30.0,24.0,26.0,28.0,27.0,28.0,26.0,25.0,23.0,22.0,23.0,20.0,23.0,22.0,22.0
395152,TEXARKANA,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,31.0,35.0,34.0,32.0,31.0,33.0,34.0,34.0,33.0,32.0,32.0,31.0,35.0
394800,LOGAN,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,27.0,28.0,31.0,33.0,31.0,30.0,29.0,29.0,32.0,30.0,33.0,32.0,28.0,31.0,29.0,28.0,29.0,28.0,25.0,29.0,28.0,29.0,32.0,32.0,29.0,30.0,34.0,29.0,30.0,32.0,27.0,29.0,29.0,28.0,31.0,33.0,30.0,30.0,30.0,31.0,34.0
394595,FLAGSTAFF,AZ,42.0,36.0,34.0,37.0,40.0,37.0,36.0,34.0,36.0,37.0,35.0,33.0,38.0,35.0,34.0,36.0,35.0,37.0,35.0,36.0,36.0,36.0,36.0,37.0,40.0,34.0,36.0,39.0,33.0,35.0,35.0,35.0,38.0,40.0,41.0,36.0,41.0,33.0,33.0,36.0,33.0,36.0,35.0,36.0,38.0,38.0,38.0,37.0,39.0,32.0,32.0,33.0,34.0,32.0,31.0,32.0,33.0,32.0,33.0,37.0,38.0,35.0,38.0,33.0,29.0,33.0,33.0,29.0,30.0,32.0,30.0,29.0,35.0,31.0,31.0,31.0,33.0,31.0
395036,ROCKY MOUNT,NC,49.0,38.0,41.0,41.0,41.0,43.0,40.0,40.0,45.0,43.0,39.0,36.0,42.0,36.0,38.0,38.0,42.0,41.0,41.0,43.0,39.0,36.0,41.0,44.0,50.0,33.0,39.0,44.0,43.0,43.0,43.0,45.0,43.0,44.0,43.0,45.0,44.0,43.0,42.0,41.0,44.0,44.0,42.0,41.0,42.0,45.0,42.0,41.0,45.0,41.0,37.0,41.0,41.0,35.0,40.0,37.0,40.0,38.0,38.0,33.0,40.0,35.0,35.0,34.0,35.0,37.0,39.0,37.0,37.0,37.0,35.0,37.0,34.0,32.0,33.0,37.0,36.0,37.0
395000,POTTSVILLE,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,42.0,41.0,35.0,31.0,41.0,39.0,43.0,35.0,38.0,37.0,37.0,40.0,42.0,42.0,42.0,43.0,44.0,39.0,40.0,34.0,35.0,40.0,37.0,38.0,38.0,35.0,33.0,36.0,37.0,35.0,37.0,34.0,35.0,34.0,33.0,37.0,34.0,35.0,34.0,33.0,32.0,33.0,36.0,32.0,35.0,33.0,33.0,37.0
394515,DALTON,GA,40.0,32.0,33.0,33.0,30.0,37.0,26.0,31.0,31.0,35.0,34.0,36.0,43.0,30.0,33.0,32.0,33.0,34.0,38.0,36.0,36.0,36.0,31.0,35.0,33.0,29.0,34.0,36.0,31.0,36.0,39.0,38.0,40.0,37.0,39.0,37.0,38.0,36.0,39.0,36.0,36.0,37.0,34.0,35.0,34.0,34.0,34.0,34.0,38.0,34.0,33.0,32.0,33.0,33.0,37.0,33.0,30.0,33.0,30.0,30.0,34.0,30.0,30.0,30.0,34.0,37.0,33.0,31.0,32.0,34.0,31.0,32.0,31.0,32.0,30.0,30.0,30.0,31.0
394783,LEBANON,PA,43.0,38.0,39.0,43.0,39.0,42.0,38.0,40.0,41.0,39.0,39.0,45.0,41.0,40.0,43.0,40.0,45.0,46.0,44.0,43.0,44.0,44.0,44.0,39.0,45.0,39.0,45.0,48.0,,53.0,42.0,43.0,38.0,30.0,41.0,45.0,46.0,44.0,41.0,40.0,44.0,46.0,43.0,45.0,42.0,43.0,42.0,44.0,43.0,49.0,38.0,39.0,38.0,41.0,42.0,39.0,42.0,39.0,35.0,33.0,41.0,35.0,33.0,38.0,39.0,38.0,36.0,38.0,38.0,38.0,36.0,37.0,38.0,37.0,33.0,35.0,37.0,37.0
394880,MORRISTOWN,TN,39.0,34.0,37.0,39.0,34.0,40.0,37.0,36.0,37.0,39.0,37.0,35.0,38.0,37.0,38.0,36.0,36.0,39.0,36.0,35.0,38.0,41.0,41.0,41.0,38.0,39.0,38.0,41.0,43.0,39.0,37.0,43.0,42.0,43.0,43.0,42.0,46.0,42.0,38.0,42.0,42.0,44.0,41.0,39.0,40.0,41.0,43.0,41.0,43.0,40.0,37.0,39.0,39.0,37.0,36.0,37.0,37.0,38.0,37.0,32.0,36.0,32.0,29.0,34.0,34.0,33.0,37.0,38.0,35.0,35.0,37.0,33.0,38.0,34.0,33.0,34.0,38.0,35.0
395232,WINCHESTER,VA,46.0,29.0,27.0,30.0,28.0,32.0,35.0,38.0,37.0,38.0,36.0,37.0,40.0,36.0,36.0,37.0,35.0,41.0,36.0,36.0,37.0,36.0,41.0,44.0,37.0,40.0,37.0,40.0,42.0,42.0,42.0,41.0,40.0,33.0,40.0,41.0,43.0,39.0,38.0,38.0,38.0,37.0,39.0,38.0,38.0,38.0,37.0,36.0,43.0,40.0,36.0,33.0,33.0,34.0,35.0,35.0,37.0,36.0,34.0,34.0,37.0,31.0,33.0,32.0,35.0,35.0,34.0,35.0,33.0,34.0,34.0,34.0,36.0,34.0,33.0,32.0,34.0,33.0
395221,WHEELING,OH,,,31.0,32.0,38.0,42.0,34.0,42.0,43.0,44.0,40.0,34.0,41.0,37.0,33.0,33.0,41.0,43.0,38.0,40.0,43.0,42.0,41.0,41.0,44.0,39.0,33.0,53.0,43.0,44.0,44.0,41.0,47.0,45.0,50.0,52.0,38.0,44.0,47.0,41.0,48.0,46.0,50.0,48.0,43.0,49.0,56.0,47.0,51.0,47.0,45.0,41.0,44.0,46.0,51.0,47.0,41.0,41.0,45.0,40.0,41.0,37.0,37.0,37.0,38.0,44.0,43.0,48.0,39.0,43.0,41.0,42.0,41.0,47.0,39.0,39.0,44.0,43.0
394879,MORGANTOWN,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,34.0,43.0,42.0,45.0,46.0,46.0,44.0,41.0,45.0,41.0,43.0,48.0,42.0,42.0,44.0,40.0,47.0
394756,LA CROSSE,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,40.0,38.0,25.0,41.0,40.0,43.0,38.0,37.0,39.0,38.0,39.0,36.0,37.0,40.0,42.0,41.0,36.0,39.0,37.0,36.0,34.0,36.0,35.0,38.0,35.0,38.0,42.0,40.0,39.0,38.0,35.0,34.0,35.0,35.0,35.0,36.0,35.0,37.0,39.0
394900,NAPA,CA,40.0,33.0,31.0,35.0,33.0,33.0,30.0,32.0,29.0,30.0,31.0,30.0,32.0,31.0,34.0,31.0,31.0,32.0,32.0,31.0,33.0,35.0,32.0,36.0,37.0,30.0,32.0,31.0,32.0,31.0,33.0,34.0,35.0,38.0,33.0,39.0,36.0,33.0,29.0,26.0,28.0,31.0,29.0,29.0,32.0,30.0,32.0,32.0,34.0,29.0,26.0,26.0,25.0,25.0,27.0,28.0,24.0,25.0,25.0,30.0,27.0,27.0,23.0,26.0,25.0,25.0,25.0,22.0,23.0,24.0,23.0,27.0,36.0,28.0,24.0,24.0,25.0,27.0
395013,RAPID CITY,SD,36.0,35.0,44.0,43.0,43.0,42.0,45.0,41.0,40.0,44.0,37.0,38.0,40.0,39.0,38.0,41.0,43.0,40.0,42.0,44.0,43.0,42.0,43.0,45.0,48.0,43.0,45.0,43.0,47.0,43.0,42.0,48.0,51.0,48.0,49.0,51.0,52.0,49.0,40.0,41.0,44.0,47.0,45.0,48.0,49.0,45.0,47.0,47.0,50.0,45.0,43.0,40.0,42.0,44.0,41.0,39.0,40.0,39.0,40.0,41.0,44.0,39.0,41.0,40.0,41.0,41.0,39.0,39.0,41.0,39.0,38.0,41.0,40.0,40.0,37.0,39.0,43.0,42.0
395139,SUMTER,SC,34.0,32.0,34.0,37.0,37.0,36.0,37.0,38.0,38.0,39.0,35.0,36.0,36.0,32.0,37.0,40.0,39.0,39.0,43.0,40.0,37.0,37.0,39.0,40.0,37.0,35.0,36.0,41.0,39.0,42.0,42.0,41.0,45.0,43.0,41.0,40.0,45.0,45.0,39.0,42.0,42.0,43.0,45.0,43.0,43.0,42.0,41.0,46.0,44.0,40.0,38.0,42.0,40.0,42.0,41.0,39.0,40.0,40.0,39.0,40.0,44.0,35.0,38.0,38.0,42.0,43.0,42.0,39.0,37.0,37.0,40.0,34.0,40.0,38.0,37.0,35.0,38.0,38.0
395117,SPRINGFIELD,OH,35.0,30.0,32.0,36.0,37.0,37.0,35.0,38.0,37.0,33.0,35.0,35.0,35.0,37.0,34.0,34.0,38.0,38.0,41.0,39.0,39.0,36.0,36.0,37.0,34.0,37.0,37.0,36.0,36.0,39.0,39.0,40.0,40.0,40.0,40.0,38.0,39.0,39.0,37.0,40.0,38.0,37.0,37.0,41.0,39.0,40.0,38.0,36.0,36.0,42.0,33.0,35.0,34.0,33.0,32.0,34.0,34.0,31.0,30.0,31.0,31.0,31.0,29.0,31.0,31.0,33.0,31.0,32.0,30.0,33.0,31.0,34.0,36.0,32.0,28.0,30.0,29.0,35.0
